0.0,0.3450
0.5,0.3413
1.0,0.3321
1.5,0.3232
2.0,0.3162
2.5,0.3094
3.0,0.3028
3.5,0.2963
4.0,0.2900
4.5,0.2838
5.0,0.2777
5.5,0.2717
6.0,0.2659
6.5,0.2601
7.0,0.2544
7.5,0.2489
8.0,0.2435
8.5,0.2383
9.0,0.2332
9.5,0.2282
10.0,0.2233
10.5,0.2186
11.0,0.2139
11.5,0.2093
12.0,0.2048
12.5,0.2005
13.0,0.1962
13.5,0.1920
14.0,0.1880
14.5,0.1840
15.0,0.1801
15.5,0.1762
16.0,0.1725
16.5,0.1688
17.0,0.1653
17.5,0.1618
18.0,0.1583
18.5,0.1550
19.0,0.1517
19.5,0.1485
20.0,0.1454
20.5,0.1423
21.0,0.1393
21.5,0.1363
22.0,0.1335
22.5,0.1307
23.0,0.1279
23.5,0.1252
24.0,0.1226
24.5,0.1200
25.0,0.1175
25.5,0.1151
26.0,0.1127
26.5,0.1103
27.0,0.1080
27.5,0.1058
28.0,0.1036
28.5,0.1014
29.0,0.0993
29.5,0.0972
30.0,0.0952
30.5,0.0932
